node_uid,node_registration_id,node_instance_name,num_visits,num_failures,num_successes,num_running,num_idle
25,RecoveryNode,NavigateRecovery,7,1,1,1,4
27,RateController,RateController,85,0,35,42,8
28,RecoveryNode,ComputePathToPose,141,0,35,35,71
29,ComputePathToPose,ComputePathToPose,106,0,35,35,36
26,PipelineSequence,NavigateWithReplanning,23,7,1,7,8
33,RecoveryNode,FollowPath,31,7,1,7,16
34,FollowPath,FollowPath,44,14,1,14,15
46,BackUp,BackUp,3,0,1,1,1
45,Wait,Wait,3,0,1,1,1
44,Spin,Spin,6,0,2,2,2
43,ClearEntireCostmap,ClearGlobalCostmap-Subtree,4,0,2,0,2
42,ClearEntireCostmap,ClearLocalCostmap-Subtree,4,0,2,0,2
41,Sequence,ClearingActions,6,0,2,2,2
40,RoundRobin,RecoveryActions,18,0,6,6,6
39,GoalUpdated,GoalUpdated,12,6,0,0,6
38,ReactiveFallback,RecoveryFallback,16,0,6,4,6
30,ReactiveFallback,ComputePathToPoseRecoveryFallback,0,0,0,0,0
31,GoalUpdated,GoalUpdated,0,0,0,0,0
32,ClearEntireCostmap,ClearGlobalCostmap-Context,0,0,0,0,0
35,ReactiveFallback,FollowPathRecoveryFallback,14,0,7,0,7
36,GoalUpdated,GoalUpdated,14,7,0,0,7
37,ClearEntireCostmap,ClearLocalCostmap-Context,14,0,7,0,7
